Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
202403100ORL,2024-03-10,6:00p,Indiana Pacers,IND,111,Orlando Magic,ORL,97,/boxscores/202403100ORL.html,Kia Center,19481.0,,2024,0,-14,2:19
202403100SAC,2024-03-10,6:00p,Houston Rockets,HOU,112,Sacramento Kings,SAC,104,/boxscores/202403100SAC.html,Golden 1 Center,18022.0,,2024,0,-8,2:18
202403100CLE,2024-03-10,7:00p,Brooklyn Nets,BRK,120,Cleveland Cavaliers,CLE,101,/boxscores/202403100CLE.html,Rocket Mortgage Fieldhouse,19432.0,,2024,0,-19,2:05
202403100NYK,2024-03-10,7:00p,Philadelphia 76ers,PHI,79,New York Knicks,NYK,73,/boxscores/202403100NYK.html,Madison Square Garden (IV),19812.0,,2024,0,-6,2:18
202403100OKC,2024-03-10,7:00p,Memphis Grizzlies,MEM,93,Oklahoma City Thunder,OKC,124,/boxscores/202403100OKC.html,Paycom Center,18203.0,,2024,1,31,2:01
202403100LAL,2024-03-10,9:30p,Minnesota Timberwolves,MIN,109,Los Angeles Lakers,LAL,120,/boxscores/202403100LAL.html,Crypto.com Arena,18997.0,,2024,1,11,2:15
202403110DET,2024-03-11,7:00p,Charlotte Hornets,CHO,97,Detroit Pistons,DET,114,/boxscores/202403110DET.html,Little Caesars Arena,18003.0,,2024,1,17,2:07
202403110CLE,2024-03-11,7:30p,Phoenix Suns,PHO,117,Cleveland Cavaliers,CLE,111,/boxscores/202403110CLE.html,Rocket Mortgage Fieldhouse,19432.0,,2024,0,-6,2:10
202403110CHI,2024-03-11,8:00p,Dallas Mavericks,DAL,127,Chicago Bulls,CHI,92,/boxscores/202403110CHI.html,United Center,21363.0,,2024,0,-35,1:58
202403110SAS,2024-03-11,8:00p,Golden State Warriors,GSW,112,San Antonio Spurs,SAS,102,/boxscores/202403110SAS.html,Frost Bank Center,18354.0,,2024,0,-10,2:05
202403110DEN,2024-03-11,9:00p,Toronto Raptors,TOR,119,Denver Nuggets,DEN,125,/boxscores/202403110DEN.html,Ball Arena,19652.0,,2024,1,6,2:06
202403110POR,2024-03-11,10:30p,Boston Celtics,BOS,121,Portland Trail Blazers,POR,99,/boxscores/202403110POR.html,Moda Center,18480.0,,2024,0,-22,1:53
202403120NYK,2024-03-12,7:30p,Philadelphia 76ers,PHI,79,New York Knicks,NYK,106,/boxscores/202403120NYK.html,Madison Square Garden (IV),19812.0,,2024,1,27,2:11
202403120MEM,2024-03-12,8:00p,Washington Wizards,WAS,97,Memphis Grizzlies,MEM,109,/boxscores/202403120MEM.html,FedEx Forum,15291.0,,2024,1,12,2:04
202403120OKC,2024-03-12,8:00p,Indiana Pacers,IND,121,Oklahoma City Thunder,OKC,111,/boxscores/202403120OKC.html,Paycom Center,17118.0,,2024,0,-10,2:04
202403120SAS,2024-03-12,8:30p,Houston Rockets,HOU,103,San Antonio Spurs,SAS,101,/boxscores/202403120SAS.html,Frost Bank Center,18751.0,,2024,0,-2,2:14
202403120UTA,2024-03-12,9:00p,Boston Celtics,BOS,123,Utah Jazz,UTA,107,/boxscores/202403120UTA.html,Delta Center,18206.0,,2024,0,-16,2:00
202403120LAC,2024-03-12,10:00p,Minnesota Timberwolves,MIN,118,Los Angeles Clippers,LAC,100,/boxscores/202403120LAC.html,Crypto.com Arena,19370.0,,2024,0,-18,2:17
202403120SAC,2024-03-12,10:00p,Milwaukee Bucks,MIL,94,Sacramento Kings,SAC,129,/boxscores/202403120SAC.html,Golden 1 Center,17832.0,,2024,1,35,2:17
202403130DET,2024-03-13,7:00p,Toronto Raptors,TOR,104,Detroit Pistons,DET,113,/boxscores/202403130DET.html,Little Caesars Arena,19313.0,,2024,1,9,2:18
202403130ORL,2024-03-13,7:00p,Brooklyn Nets,BRK,106,Orlando Magic,ORL,114,/boxscores/202403130ORL.html,Kia Center,18846.0,,2024,1,8,2:19
202403130IND,2024-03-13,7:30p,Chicago Bulls,CHI,132,Indiana Pacers,IND,129,/boxscores/202403130IND.html,Gainbridge Fieldhouse,17274.0,OT,2024,0,-3,2:44
202403130MIA,2024-03-13,7:30p,Denver Nuggets,DEN,100,Miami Heat,MIA,88,/boxscores/202403130MIA.html,Kaseya Center,19921.0,,2024,0,-12,2:05
202403130MEM,2024-03-13,8:00p,Charlotte Hornets,CHO,110,Memphis Grizzlies,MEM,98,/boxscores/202403130MEM.html,FedEx Forum,16717.0,,2024,0,-12,2:05
202403130NOP,2024-03-13,8:00p,Cleveland Cavaliers,CLE,116,New Orleans Pelicans,NOP,95,/boxscores/202403130NOP.html,Smoothie King Center,17727.0,,2024,0,-21,1:57
202403130DAL,2024-03-13,8:30p,Golden State Warriors,GSW,99,Dallas Mavericks,DAL,109,/boxscores/202403130DAL.html,American Airlines Center,20411.0,,2024,1,10,2:13
202403130POR,2024-03-13,10:00p,Atlanta Hawks,ATL,102,Portland Trail Blazers,POR,106,/boxscores/202403130POR.html,Moda Center,18064.0,,2024,1,4,2:11
202403130SAC,2024-03-13,10:00p,Los Angeles Lakers,LAL,107,Sacramento Kings,SAC,120,/boxscores/202403130SAC.html,Golden 1 Center,18332.0,,2024,1,13,2:14
202403140BOS,2024-03-14,7:30p,Phoenix Suns,PHO,112,Boston Celtics,BOS,127,/boxscores/202403140BOS.html,TD Garden,19156.0,,2024,1,15,2:02
202403140CHI,2024-03-14,8:00p,Los Angeles Clippers,LAC,126,Chicago Bulls,CHI,111,/boxscores/202403140CHI.html,United Center,21219.0,,2024,0,-15,2:00
202403140HOU,2024-03-14,8:00p,Washington Wizards,WAS,119,Houston Rockets,HOU,135,/boxscores/202403140HOU.html,Toyota Center,18055.0,,2024,1,16,2:05
202403140MIL,2024-03-14,8:00p,Philadelphia 76ers,PHI,105,Milwaukee Bucks,MIL,114,/boxscores/202403140MIL.html,Fiserv Forum,17635.0,,2024,1,9,2:15
202403140OKC,2024-03-14,10:00p,Dallas Mavericks,DAL,119,Oklahoma City Thunder,OKC,126,/boxscores/202403140OKC.html,Paycom Center,18203.0,,2024,1,7,2:27
202403140POR,2024-03-14,10:00p,New York Knicks,NYK,105,Portland Trail Blazers,POR,93,/boxscores/202403140POR.html,Moda Center,17768.0,,2024,0,-12,2:05
202403150CHO,2024-03-15,7:00p,Phoenix Suns,PHO,107,Charlotte Hornets,CHO,96,/boxscores/202403150CHO.html,Spectrum Center,18613.0,,2024,0,-11,2:07
202403150DET,2024-03-15,7:00p,Miami Heat,MIA,108,Detroit Pistons,DET,95,/boxscores/202403150DET.html,Little Caesars Arena,19894.0,,2024,0,-13,2:01
202403150TOR,2024-03-15,7:30p,Orlando Magic,ORL,113,Toronto Raptors,TOR,103,/boxscores/202403150TOR.html,Scotiabank Arena,19800.0,,2024,0,-10,2:14
202403150NOP,2024-03-15,8:00p,Los Angeles Clippers,LAC,104,New Orleans Pelicans,NOP,112,/boxscores/202403150NOP.html,Smoothie King Center,18865.0,,2024,1,8,2:09
202403150SAS,2024-03-15,8:30p,Denver Nuggets,DEN,117,San Antonio Spurs,SAS,106,/boxscores/202403150SAS.html,Moody Center,16223.0,,2024,0,-11,2:07
202403150UTA,2024-03-15,9:30p,Atlanta Hawks,ATL,122,Utah Jazz,UTA,124,/boxscores/202403150UTA.html,Delta Center,18206.0,,2024,1,2,2:12
202403160HOU,2024-03-16,5:00p,Cleveland Cavaliers,CLE,103,Houston Rockets,HOU,117,/boxscores/202403160HOU.html,Toyota Center,18055.0,,2024,1,14,2:01
202403160IND,2024-03-16,7:00p,Brooklyn Nets,BRK,100,Indiana Pacers,IND,121,/boxscores/202403160IND.html,Gainbridge Fieldhouse,17009.0,,2024,1,21,2:14
202403160NOP,2024-03-16,7:00p,Portland Trail Blazers,POR,107,New Orleans Pelicans,NOP,126,/boxscores/202403160NOP.html,Smoothie King Center,17725.0,,2024,1,19,2:09
202403160PHI,2024-03-16,7:00p,Charlotte Hornets,CHO,98,Philadelphia 76ers,PHI,109,/boxscores/202403160PHI.html,Wells Fargo Center,19957.0,,2024,1,11,2:15
202403160CHI,2024-03-16,8:00p,Washington Wizards,WAS,98,Chicago Bulls,CHI,127,/boxscores/202403160CHI.html,United Center,21697.0,,2024,1,29,2:17
202403160MEM,2024-03-16,8:00p,Oklahoma City Thunder,OKC,118,Memphis Grizzlies,MEM,112,/boxscores/202403160MEM.html,FedEx Forum,17012.0,,2024,0,-6,2:18
202403160LAL,2024-03-16,8:30p,Golden State Warriors,GSW,128,Los Angeles Lakers,LAL,121,/boxscores/202403160LAL.html,Crypto.com Arena,18997.0,,2024,0,-7,2:25
202403160UTA,2024-03-16,9:30p,Minnesota Timberwolves,MIN,119,Utah Jazz,UTA,100,/boxscores/202403160UTA.html,Delta Center,18206.0,,2024,0,-19,2:08
202403160SAC,2024-03-16,10:00p,New York Knicks,NYK,98,Sacramento Kings,SAC,91,/boxscores/202403160SAC.html,Golden 1 Center,18311.0,,2024,0,-7,2:21
202403170MIL,2024-03-17,1:00p,Phoenix Suns,PHO,129,Milwaukee Bucks,MIL,140,/boxscores/202403170MIL.html,Fiserv Forum,17783.0,,2024,1,11,2:10
202403170DET,2024-03-17,3:00p,Miami Heat,MIA,104,Detroit Pistons,DET,101,/boxscores/202403170DET.html,Little Caesars Arena,20004.0,,2024,0,-3,2:03
202403170DAL,2024-03-17,3:30p,Denver Nuggets,DEN,105,Dallas Mavericks,DAL,107,/boxscores/202403170DAL.html,American Airlines Center,20377.0,,2024,1,2,2:20
202403170ORL,2024-03-17,6:00p,Toronto Raptors,TOR,96,Orlando Magic,ORL,111,/boxscores/202403170ORL.html,Kia Center,18846.0,,2024,1,15,2:10
